! Species         Shape    LJ-depth  LJ-diam   DiplMom   Polzblty  RotRelaxNum Data     
! Name            Index    epsilon/k_B sigma     mu        alpha     Zrot      Source   
O[CH]O(54)          2     436.691     4.721     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=567.13 K, Pc=78.31 bar (from Joback method)
[O]CO(55)           2     436.691     4.721     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=567.13 K, Pc=78.31 bar (from Joback method)
[O]OO[CH]O(56)      2     471.631     4.940     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=612.51 K, Pc=73.81 bar (from Joback method)
[O]OC(O)O(57)       2     524.195     4.768     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=680.77 K, Pc=91.22 bar (from Joback method)
O[CH]OOO(58)        2     471.631     4.940     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=612.51 K, Pc=73.81 bar (from Joback method)
[O]C(O)OO(59)       2     524.195     4.768     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=680.77 K, Pc=91.22 bar (from Joback method)
[O]C(O)O(60)        2     506.876     4.664     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=658.28 K, Pc=94.26 bar (from Joback method)
[O]C([O])O(61)      2     506.876     4.664     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=658.28 K, Pc=94.26 bar (from Joback method)
C2H3O3(62)          2     446.453     5.116     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=579.81 K, Pc=62.89 bar (from Joback method)
C2H3O3(63)          2     498.368     4.974     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=647.23 K, Pc=76.41 bar (from Joback method)
C2H3O4(64)          2     516.245     5.370     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=670.45 K, Pc=62.89 bar (from Joback method)
C2H3O4(65)          2     582.501     5.193     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=756.49 K, Pc=78.45 bar (from Joback method)
C2H4O4(66)          2     595.166     4.908     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=772.94 K, Pc=95 bar (from Joback method)
C2H4O4(67)          2     541.399     5.110     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=703.12 K, Pc=76.54 bar (from Joback method)
O[CH]OO[CH]O(68)    2     488.700     5.270     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=634.67 K, Pc=62.99 bar (from Joback method)
OC1OOC1O(69)        2     515.000     4.964     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=668.83 K, Pc=79.44 bar (from Joback method)
C2H4O4(70)          2     463.733     5.228     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=602.25 K, Pc=61.23 bar (from Joback method)
C2H4O4(71)          2     515.378     5.080     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=669.32 K, Pc=74.19 bar (from Joback method)
[CH]1OO1(72)        2     362.248     4.537     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=470.45 K, Pc=73.18 bar (from Joback method)
C2HO3(73)           2     495.338     5.257     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=643.30 K, Pc=64.31 bar (from Joback method)
[O][CH]O(74)        2     436.691     4.721     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=567.13 K, Pc=78.31 bar (from Joback method)
[O][CH]OOO(75)      2     471.631     4.940     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=612.51 K, Pc=73.81 bar (from Joback method)
[O]C([O])OO(76)     2     524.195     4.768     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=680.77 K, Pc=91.22 bar (from Joback method)
C2H2O3(77)          2     446.453     5.116     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=579.81 K, Pc=62.89 bar (from Joback method)
C2H2O3(78)          2     498.368     4.974     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=647.23 K, Pc=76.41 bar (from Joback method)
C2H2O4(79)          2     516.245     5.370     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=670.45 K, Pc=62.89 bar (from Joback method)
C2H2O4(80)          2     582.501     5.193     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=756.49 K, Pc=78.45 bar (from Joback method)
C2H2O4(81)          2     495.338     5.347     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=643.30 K, Pc=61.13 bar (from Joback method)
[O]C1OOC1O(82)      2     515.000     4.964     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=668.83 K, Pc=79.44 bar (from Joback method)
C2H3O4(83)          2     463.733     5.228     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=602.25 K, Pc=61.23 bar (from Joback method)
C2H3O4(84)          2     515.378     5.080     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=669.32 K, Pc=74.19 bar (from Joback method)
C2H3O4(85)          2     463.733     5.228     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=602.25 K, Pc=61.23 bar (from Joback method)
[O]C1OOC1[O](86)    2     515.000     4.964     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=668.83 K, Pc=79.44 bar (from Joback method)
C2H2O4(87)          2     463.733     5.228     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=602.25 K, Pc=61.23 bar (from Joback method)
C2H2O4(88)          2     515.378     5.080     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=669.32 K, Pc=74.19 bar (from Joback method)
